episode,ep_rew,ep_len
821,-8.0,8
822,-25.0,25
823,-8.0,8
824,-8.0,8
825,-14.0,14
826,-13.0,13
827,-19.0,19
828,-10.0,10
829,-9.0,9
830,-12.0,12
831,-11.0,11
832,-11.0,11
833,-11.0,11
834,-10.0,10
835,-18.0,18
836,-10.0,10
837,-10.0,10
838,-15.0,15
839,-9.0,9
840,-24.0,24
841,-27.0,27
842,-9.0,9
843,-9.0,9
844,-17.0,17
845,-14.0,14
846,-10.0,10
847,-8.0,8
848,-9.0,9
849,-12.0,12
850,-11.0,11
851,-11.0,11
852,-10.0,10
853,-8.0,8
854,-9.0,9
855,-13.0,13
856,-9.0,9
857,-12.0,12
858,-10.0,10
859,-10.0,10
860,-13.0,13
861,-8.0,8
862,-11.0,11
863,-14.0,14
864,-10.0,10
865,-9.0,9
866,-9.0,9
867,-12.0,12
868,-8.0,8
869,-9.0,9
870,-9.0,9
871,-10.0,10
872,-10.0,10
873,-15.0,15
874,-11.0,11
875,-8.0,8
876,-11.0,11
877,-10.0,10
878,-8.0,8
879,-9.0,9
880,-17.0,17
881,-8.0,8
882,-12.0,12
883,-9.0,9
884,-10.0,10
885,-9.0,9
886,-10.0,10
887,-8.0,8
888,-8.0,8
889,-16.0,16
890,-10.0,10
891,-14.0,14
892,-10.0,10
893,-16.0,16
894,-8.0,8
895,-11.0,11
896,-10.0,10
897,-10.0,10
898,-10.0,10
899,-15.0,15
900,-9.0,9
901,-10.0,10
902,-11.0,11
903,-10.0,10
904,-9.0,9
905,-20.0,20
906,-10.0,10
907,-11.0,11
908,-10.0,10
909,-11.0,11
910,-10.0,10
911,-8.0,8
912,-11.0,11
913,-14.0,14
914,-9.0,9
915,-8.0,8
916,-10.0,10
917,-11.0,11
918,-11.0,11
919,-9.0,9
920,-12.0,12
921,-10.0,10
922,-9.0,9
923,-14.0,14
924,-10.0,10
925,-10.0,10
926,-11.0,11
927,-8.0,8
928,-10.0,10
929,-11.0,11
930,-10.0,10
931,-13.0,13
932,-11.0,11
933,-9.0,9
934,-14.0,14
935,-10.0,10
936,-8.0,8
937,-8.0,8
938,-10.0,10
939,-12.0,12
940,-11.0,11
941,-9.0,9
942,-13.0,13
943,-8.0,8
944,-14.0,14
945,-9.0,9
946,-12.0,12
947,-9.0,9
948,-10.0,10
949,-15.0,15
950,-12.0,12
951,-9.0,9
952,-12.0,12
953,-15.0,15
954,-9.0,9
955,-10.0,10
956,-10.0,10
957,-8.0,8
958,-9.0,9
959,-16.0,16
960,-10.0,10
961,-9.0,9
962,-10.0,10
963,-8.0,8
964,-11.0,11
965,-10.0,10
966,-9.0,9
967,-33.0,33
968,-9.0,9
969,-9.0,9
970,-14.0,14
971,-8.0,8
972,-12.0,12
973,-10.0,10
974,-13.0,13
975,-8.0,8
976,-11.0,11
977,-10.0,10
978,-9.0,9
979,-10.0,10
980,-8.0,8
981,-9.0,9
982,-13.0,13
983,-13.0,13
984,-12.0,12
985,-8.0,8
986,-10.0,10
987,-16.0,16
988,-19.0,19
989,-9.0,9
990,-8.0,8
991,-15.0,15
992,-9.0,9
993,-8.0,8
994,-9.0,9
995,-15.0,15
996,-13.0,13
997,-11.0,11
998,-9.0,9
999,-10.0,10
1000,-10.0,10
1001,-15.0,15
1002,-8.0,8
1003,-10.0,10
1004,-10.0,10
1005,-8.0,8
1006,-9.0,9
1007,-11.0,11
1008,-8.0,8
1009,-13.0,13
1010,-11.0,11
1011,-9.0,9
1012,-10.0,10
1013,-8.0,8
1014,-8.0,8
1015,-11.0,11
1016,-9.0,9
1017,-11.0,11
1018,-13.0,13
1019,-10.0,10
1020,-8.0,8
1021,-14.0,14
1022,-8.0,8
1023,-20.0,20
1024,-8.0,8
1025,-10.0,10
1026,-10.0,10
1027,-8.0,8
1028,-8.0,8
1029,-8.0,8
1030,-9.0,9
1031,-10.0,10
1032,-8.0,8
1033,-8.0,8
1034,-8.0,8
1035,-15.0,15
1036,-8.0,8
1037,-12.0,12
1038,-12.0,12
1039,-14.0,14
1040,-20.0,20
1041,-8.0,8
1042,-12.0,12
1043,-16.0,16
1044,-14.0,14
1045,-9.0,9
1046,-12.0,12
1047,-10.0,10
1048,-11.0,11
1049,-10.0,10
1050,-8.0,8
1051,-9.0,9
1052,-8.0,8
1053,-8.0,8
1054,-11.0,11
1055,-13.0,13
1056,-10.0,10
1057,-14.0,14
1058,-19.0,19
1059,-14.0,14
1060,-8.0,8
1061,-11.0,11
1062,-13.0,13
1063,-13.0,13
1064,-8.0,8
1065,-16.0,16
1066,-8.0,8
1067,-11.0,11
1068,-10.0,10
1069,-13.0,13
1070,-10.0,10
1071,-9.0,9
1072,-8.0,8
1073,-16.0,16
1074,-10.0,10
1075,-12.0,12
1076,-8.0,8
1077,-8.0,8
1078,-9.0,9
1079,-11.0,11
1080,-15.0,15
1081,-10.0,10
1082,-8.0,8
1083,-10.0,10
1084,-11.0,11
1085,-8.0,8
1086,-11.0,11
1087,-8.0,8
1088,-9.0,9
1089,-8.0,8
1090,-12.0,12
1091,-10.0,10
1092,-9.0,9
1093,-12.0,12
1094,-10.0,10
1095,-13.0,13
1096,-10.0,10
1097,-18.0,18
1098,-8.0,8
1099,-8.0,8
1100,-9.0,9
1101,-8.0,8
1102,-10.0,10
1103,-18.0,18
1104,-8.0,8
1105,-8.0,8
1106,-8.0,8
1107,-9.0,9
1108,-8.0,8
1109,-11.0,11
1110,-11.0,11
1111,-12.0,12
1112,-8.0,8
1113,-10.0,10
1114,-12.0,12
1115,-8.0,8
1116,-11.0,11
1117,-8.0,8
1118,-10.0,10
1119,-12.0,12
1120,-11.0,11
1121,-9.0,9
1122,-12.0,12
1123,-10.0,10
1124,-13.0,13
1125,-14.0,14
1126,-10.0,10
1127,-12.0,12
1128,-8.0,8
1129,-8.0,8
1130,-8.0,8
1131,-8.0,8
1132,-8.0,8
1133,-10.0,10
1134,-9.0,9
1135,-8.0,8
1136,-10.0,10
1137,-9.0,9
1138,-13.0,13
1139,-10.0,10
1140,-8.0,8
1141,-10.0,10
1142,-16.0,16
1143,-10.0,10
1144,-10.0,10
1145,-12.0,12
1146,-8.0,8
1147,-9.0,9
1148,-11.0,11
1149,-9.0,9
1150,-14.0,14
1151,-12.0,12
1152,-14.0,14
1153,-16.0,16
1154,-9.0,9
1155,-8.0,8
1156,-10.0,10
1157,-10.0,10
1158,-8.0,8
1159,-8.0,8
1160,-8.0,8
1161,-10.0,10
1162,-8.0,8
1163,-9.0,9
1164,-8.0,8
1165,-10.0,10
1166,-8.0,8
1167,-8.0,8
1168,-8.0,8
1169,-9.0,9
1170,-14.0,14
1171,-8.0,8
1172,-11.0,11
1173,-8.0,8
1174,-10.0,10
1175,-10.0,10
1176,-8.0,8
1177,-12.0,12
1178,-10.0,10
1179,-11.0,11
1180,-9.0,9
1181,-11.0,11
1182,-9.0,9
1183,-12.0,12
1184,-11.0,11
1185,-8.0,8
1186,-8.0,8
1187,-9.0,9
1188,-8.0,8
1189,-9.0,9
1190,-10.0,10
1191,-11.0,11
1192,-9.0,9
1193,-8.0,8
1194,-10.0,10
1195,-11.0,11
1196,-10.0,10
1197,-9.0,9
1198,-8.0,8
1199,-10.0,10
1200,-12.0,12
1201,-11.0,11
1202,-9.0,9
1203,-9.0,9
1204,-8.0,8
1205,-9.0,9
1206,-9.0,9
1207,-8.0,8
1208,-12.0,12
1209,-8.0,8
1210,-18.0,18
1211,-8.0,8
1212,-9.0,9
1213,-8.0,8
1214,-13.0,13
1215,-9.0,9
1216,-8.0,8
1217,-8.0,8
1218,-8.0,8
1219,-13.0,13
1220,-9.0,9
1221,-14.0,14
1222,-9.0,9
1223,-9.0,9
1224,-8.0,8
1225,-10.0,10
1226,-8.0,8
1227,-10.0,10
1228,-8.0,8
1229,-8.0,8
1230,-11.0,11
1231,-8.0,8
1232,-10.0,10
1233,-11.0,11
1234,-9.0,9
1235,-8.0,8
1236,-8.0,8
1237,-9.0,9
1238,-8.0,8
1239,-15.0,15
1240,-10.0,10
1241,-12.0,12
1242,-8.0,8
1243,-8.0,8
1244,-11.0,11
1245,-9.0,9
1246,-9.0,9
1247,-8.0,8
1248,-12.0,12
1249,-8.0,8
1250,-15.0,15
1251,-9.0,9
1252,-12.0,12
1253,-9.0,9
1254,-8.0,8
1255,-10.0,10
1256,-10.0,10
1257,-9.0,9
1258,-8.0,8
1259,-9.0,9
1260,-12.0,12
1261,-10.0,10
1262,-12.0,12
1263,-8.0,8
1264,-8.0,8
1265,-8.0,8
1266,-8.0,8
1267,-8.0,8
1268,-12.0,12
1269,-9.0,9
1270,-9.0,9
1271,-9.0,9
1272,-8.0,8
1273,-10.0,10
1274,-11.0,11
1275,-10.0,10
1276,-12.0,12
1277,-9.0,9
1278,-11.0,11
1279,-11.0,11
1280,-15.0,15
1281,-15.0,15
1282,-10.0,10
1283,-9.0,9
1284,-8.0,8
1285,-9.0,9
1286,-10.0,10
1287,-10.0,10
1288,-8.0,8
1289,-8.0,8
1290,-10.0,10
1291,-9.0,9
1292,-10.0,10
1293,-9.0,9
1294,-13.0,13
1295,-9.0,9
1296,-8.0,8
1297,-11.0,11
1298,-8.0,8
1299,-8.0,8
1300,-8.0,8
1301,-8.0,8
1302,-8.0,8
1303,-10.0,10
1304,-10.0,10
1305,-9.0,9
1306,-8.0,8
1307,-9.0,9
1308,-8.0,8
1309,-10.0,10
1310,-8.0,8
1311,-8.0,8
1312,-8.0,8
1313,-9.0,9
1314,-8.0,8
1315,-9.0,9
1316,-8.0,8
1317,-8.0,8
1318,-12.0,12
1319,-10.0,10
1320,-12.0,12
1321,-15.0,15
1322,-8.0,8
1323,-9.0,9
1324,-8.0,8
1325,-10.0,10
1326,-8.0,8
1327,-9.0,9
