episode,ep_rew,ep_len
599,-26.0,26
600,-28.0,28
601,-18.0,25
602,-9.0,11
603,-10.0,6
604,-9.0,10
605,-26.0,26
606,-9.0,7
607,-17.0,31
608,-10.0,14
609,-31.0,31
610,-18.0,18
611,-22.0,22
612,-27.0,27
613,-20.0,20
614,-9.0,6
615,-9.0,13
616,-16.0,16
617,-18.0,18
618,-24.0,24
619,-10.0,9
620,-9.0,11
621,-25.0,25
622,-23.0,23
623,-20.0,20
624,-22.0,22
625,-19.0,19
626,-10.0,10
627,-9.0,10
628,-13.0,18
629,-17.0,17
630,-10.0,8
631,-21.0,21
632,-26.0,26
633,-11.0,9
634,-16.0,17
635,-31.0,31
636,-16.0,16
637,-23.0,23
638,-30.0,24
639,-19.0,19
640,-10.0,17
641,-17.0,17
642,-9.0,7
643,-11.0,15
644,-19.0,19
645,-9.0,9
646,-28.0,28
647,-23.0,23
648,-11.0,9
649,-28.0,28
650,-9.0,6
651,-23.0,23
652,-22.0,22
653,-21.0,18
654,-22.0,22
655,-23.0,23
656,-21.0,21
657,-10.0,9
658,-22.0,22
659,-12.0,12
660,-10.0,12
661,-21.0,21
662,-9.0,10
663,-46.0,46
664,-25.0,25
665,-36.0,36
666,-18.0,18
667,-16.0,16
668,-21.0,21
669,-22.0,22
670,-15.0,15
671,-13.0,13
672,-15.0,15
673,-17.0,17
674,-29.0,24
675,-21.0,21
676,-9.0,11
677,-16.0,16
678,-24.0,24
679,-10.0,9
680,-22.0,22
681,-23.0,23
682,-9.0,8
683,-15.0,15
684,-10.0,12
685,-18.0,18
686,-9.0,16
687,-17.0,17
688,-29.0,29
689,-10.0,7
690,-15.0,15
691,-19.0,19
692,-10.0,14
693,-20.0,20
694,-17.0,17
695,-12.0,11
696,-19.0,19
697,-9.0,5
698,-23.0,23
699,-28.0,28
700,-22.0,22
701,-10.0,8
702,-17.0,17
703,-21.0,21
704,-11.0,20
705,-10.0,9
706,-24.0,24
707,-22.0,22
708,-20.0,20
709,-16.0,16
710,-12.0,13
711,-17.0,17
712,-13.0,13
713,-11.0,16
714,-10.0,8
715,-26.0,26
716,-9.0,8
717,-15.0,15
718,-12.0,46
719,-19.0,19
720,-9.0,6
721,-11.0,23
722,-19.0,19
723,-13.0,11
724,-19.0,19
725,-11.0,10
726,-12.0,15
727,-9.0,10
728,-10.0,7
729,-19.0,19
730,-19.0,19
731,-9.0,15
732,-15.0,15
733,-24.0,24
734,-34.0,34
735,-24.0,24
736,-26.0,26
737,-17.0,17
738,-31.0,31
739,-10.0,22
740,-9.0,8
741,-9.0,8
742,-19.0,19
743,-15.0,15
744,-10.0,10
745,-17.0,17
746,-13.0,13
747,-9.0,11
748,-40.0,40
749,-9.0,6
750,-25.0,20
751,-9.0,9
752,-9.0,13
753,-16.0,16
754,-26.0,26
755,-9.0,12
756,-18.0,18
757,-18.0,18
758,-11.0,11
759,-15.0,19
760,-37.0,37
761,-17.0,17
762,-29.0,29
763,-11.0,15
764,-41.0,41
765,-10.0,14
766,-17.0,17
767,-10.0,11
768,-18.0,18
769,-16.0,16
770,-19.0,19
771,-10.0,8
772,-9.0,8
773,-12.0,11
774,-18.0,18
775,-28.0,28
776,-30.0,30
777,-15.0,15
778,-24.0,24
779,-15.0,15
780,-18.0,18
781,-27.0,27
782,-42.0,42
783,-9.0,8
784,-23.0,23
785,-18.0,18
786,-12.0,15
787,-10.0,12
788,-9.0,5
789,-21.0,21
790,-11.0,18
791,-21.0,21
792,-10.0,11
793,-23.0,23
794,-9.0,11
795,-25.0,25
796,-9.0,7
797,-18.0,18
798,-17.0,17
799,-24.0,24
800,-21.0,21
801,-35.0,35
802,-21.0,21
803,-28.0,28
804,-27.0,22
805,-9.0,8
806,-30.0,30
807,-10.0,8
808,-9.0,9
809,-18.0,18
810,-18.0,18
811,-9.0,10
812,-68.0,68
813,-21.0,21
814,-10.0,10
815,-9.0,10
816,-21.0,21
817,-22.0,22
818,-18.0,18
819,-22.0,22
820,-13.0,13
821,-17.0,17
822,-16.0,17
823,-9.0,6
824,-14.0,14
825,-18.0,18
826,-9.0,6
827,-22.0,22
828,-10.0,11
829,-23.0,23
830,-18.0,18
831,-59.0,59
832,-9.0,19
833,-10.0,13
834,-9.0,13
835,-21.0,21
836,-22.0,22
837,-13.0,13
838,-28.0,28
839,-16.0,16
840,-19.0,19
841,-16.0,16
842,-19.0,19
843,-19.0,19
844,-19.0,19
845,-9.0,8
846,-9.0,9
847,-20.0,20
848,-11.0,19
849,-9.0,8
850,-16.0,16
851,-15.0,15
852,-17.0,17
853,-12.0,12
854,-23.0,23
855,-10.0,9
856,-9.0,9
857,-9.0,12
858,-10.0,27
859,-18.0,18
860,-32.0,32
861,-34.0,34
862,-18.0,18
863,-11.0,10
864,-13.0,13
865,-9.0,10
866,-9.0,8
867,-9.0,7
868,-21.0,21
869,-11.0,10
870,-9.0,9
871,-23.0,23
872,-9.0,13
873,-18.0,18
874,-27.0,27
875,-10.0,7
876,-16.0,16
877,-9.0,7
878,-9.0,9
879,-16.0,16
880,-18.0,18
881,-20.0,20
882,-28.0,28
883,-20.0,20
884,-9.0,8
885,-10.0,12
886,-9.0,12
887,-15.0,15
888,-13.0,13
889,-23.0,23
890,-9.0,7
891,-9.0,10
892,-9.0,10
893,-21.0,21
894,-18.0,18
895,-10.0,11
896,-9.0,8
897,-12.0,12
898,-10.0,17
899,-11.0,14
900,-22.0,22
901,-10.0,7
902,-14.0,14
903,-15.0,15
904,-9.0,6
905,-12.0,14
906,-17.0,17
907,-15.0,20
908,-15.0,15
909,-18.0,18
910,-21.0,21
911,-17.0,17
912,-9.0,7
913,-22.0,22
914,-20.0,20
915,-11.0,9
916,-10.0,13
917,-10.0,11
918,-9.0,7
919,-9.0,8
920,-9.0,5
921,-20.0,20
922,-12.0,12
923,-24.0,24
924,-9.0,9
925,-23.0,23
926,-19.0,19
927,-14.0,14
928,-18.0,18
929,-21.0,21
930,-9.0,8
931,-9.0,9
932,-10.0,9
933,-23.0,23
934,-20.0,20
935,-17.0,17
936,-9.0,6
937,-20.0,29
938,-17.0,17
939,-10.0,8
940,-26.0,26
941,-9.0,8
942,-9.0,10
943,-22.0,22
944,-9.0,9
945,-26.0,26
946,-19.0,19
947,-17.0,17
948,-9.0,5
949,-18.0,18
950,-22.0,22
951,-16.0,16
952,-19.0,19
953,-9.0,13
954,-26.0,26
955,-9.0,7
956,-21.0,21
957,-9.0,7
958,-21.0,21
959,-9.0,9
960,-22.0,22
961,-27.0,27
962,-31.0,31
963,-29.0,29
964,-10.0,7
965,-16.0,16
966,-16.0,16
967,-17.0,17
968,-9.0,7
969,-13.0,18
970,-17.0,17
971,-16.0,16
972,-28.0,28
973,-19.0,19
974,-18.0,18
975,-22.0,22
976,-14.0,14
977,-34.0,34
978,-30.0,30
979,-35.0,35
980,-30.0,30
981,-9.0,6
982,-12.0,15
983,-24.0,24
984,-23.0,23
985,-9.0,9
986,-9.0,6
987,-10.0,7
988,-9.0,9
989,-15.0,15
990,-12.0,12
991,-15.0,15
992,-16.0,16
993,-35.0,35
994,-28.0,28
995,-10.0,13
996,-24.0,24
997,-10.0,13
998,-30.0,30
999,-10.0,14
1000,-24.0,24
1001,-9.0,20
1002,-23.0,23
1003,-10.0,11
1004,-20.0,20
1005,-9.0,5
1006,-18.0,18
1007,-13.0,17
1008,-9.0,10
1009,-10.0,12
1010,-22.0,22
1011,-11.0,11
1012,-15.0,15
1013,-14.0,14
1014,-17.0,17
1015,-22.0,22
1016,-9.0,18
1017,-9.0,8
1018,-19.0,19
1019,-14.0,14
1020,-17.0,17
1021,-19.0,19
1022,-14.0,14
1023,-17.0,29
1024,-16.0,16
1025,-13.0,13
1026,-25.0,25
1027,-20.0,20
1028,-9.0,11
1029,-14.0,14
1030,-9.0,14
1031,-19.0,19
1032,-22.0,22
1033,-9.0,10
1034,-26.0,26
1035,-17.0,17
1036,-10.0,19
1037,-26.0,26
1038,-18.0,18
1039,-26.0,26
1040,-15.0,15
1041,-23.0,23
1042,-20.0,20
1043,-14.0,14
1044,-9.0,14
1045,-12.0,12
1046,-17.0,17
1047,-22.0,22
1048,-19.0,19
1049,-10.0,9
1050,-12.0,12
1051,-19.0,19
1052,-19.0,19
1053,-33.0,33
1054,-9.0,6
1055,-16.0,16
1056,-9.0,9
1057,-23.0,23
1058,-14.0,14
1059,-20.0,20
1060,-16.0,19
1061,-9.0,9
1062,-13.0,13
1063,-10.0,12
1064,-9.0,7
1065,-10.0,9
1066,-24.0,24
1067,-9.0,8
1068,-9.0,5
1069,-9.0,6
1070,-9.0,11
1071,-21.0,21
1072,-34.0,34
1073,-14.0,14
1074,-20.0,20
1075,-9.0,8
1076,-19.0,19
1077,-9.0,13
1078,-10.0,6
1079,-29.0,25
1080,-10.0,12
1081,-20.0,20
1082,-9.0,8
1083,-18.0,18
1084,-25.0,25
1085,-19.0,19
1086,-20.0,20
1087,-10.0,14
1088,-18.0,18
1089,-9.0,6
1090,-14.0,14
1091,-26.0,26
1092,-9.0,12
1093,-11.0,18
1094,-16.0,16
1095,-23.0,23
1096,-9.0,6
1097,-14.0,14
1098,-13.0,13
1099,-9.0,7
1100,-17.0,17
1101,-26.0,26
1102,-21.0,21
1103,-19.0,19
1104,-13.0,21
1105,-9.0,15
1106,-13.0,13
1107,-9.0,6
1108,-25.0,25
1109,-14.0,14
1110,-11.0,9
1111,-14.0,14
1112,-14.0,14
1113,-25.0,22
1114,-20.0,20
1115,-17.0,17
1116,-9.0,8
1117,-21.0,21
1118,-18.0,18
1119,-9.0,12
1120,-18.0,18
1121,-14.0,14
1122,-9.0,7
1123,-26.0,26
1124,-26.0,23
1125,-9.0,7
1126,-11.0,14
1127,-20.0,20
1128,-9.0,6
1129,-16.0,16
1130,-13.0,13
1131,-17.0,17
1132,-23.0,19
1133,-18.0,18
1134,-16.0,16
1135,-16.0,16
1136,-15.0,15
1137,-22.0,22
1138,-23.0,23
1139,-21.0,21
1140,-9.0,6
1141,-16.0,16
1142,-23.0,23
1143,-15.0,15
1144,-9.0,13
1145,-25.0,25
1146,-20.0,20
1147,-9.0,8
1148,-12.0,12
1149,-10.0,6
1150,-9.0,7
1151,-29.0,29
1152,-26.0,26
1153,-16.0,16
1154,-14.0,14
1155,-29.0,29
1156,-17.0,14
1157,-24.0,24
1158,-9.0,7
1159,-9.0,11
1160,-15.0,15
1161,-20.0,20
1162,-9.0,7
1163,-29.0,29
1164,-17.0,17
1165,-15.0,15
1166,-15.0,15
1167,-20.0,20
1168,-9.0,9
1169,-16.0,16
1170,-10.0,13
1171,-16.0,16
1172,-13.0,13
1173,-9.0,7
1174,-26.0,26
1175,-9.0,8
1176,-10.0,7
1177,-15.0,15
1178,-9.0,10
1179,-10.0,14
1180,-9.0,9
1181,-9.0,8
1182,-9.0,5
1183,-12.0,12
1184,-15.0,15
1185,-19.0,19
1186,-18.0,18
1187,-15.0,15
1188,-27.0,27
1189,-10.0,7
1190,-9.0,11
1191,-31.0,31
1192,-26.0,26
1193,-12.0,12
1194,-9.0,6
1195,-16.0,16
1196,-21.0,21
1197,-17.0,17
1198,-16.0,16
1199,-14.0,14
1200,-9.0,6
1201,-17.0,17
1202,-16.0,16
1203,-14.0,14
1204,-17.0,17
1205,-10.0,10
1206,-21.0,21
1207,-11.0,19
1208,-9.0,7
1209,-21.0,21
1210,-34.0,34
1211,-14.0,14
1212,-16.0,16
1213,-18.0,18
1214,-15.0,17
1215,-12.0,15
1216,-9.0,11
1217,-13.0,13
1218,-9.0,11
1219,-9.0,9
1220,-9.0,5
1221,-14.0,14
1222,-31.0,31
1223,-25.0,23
1224,-9.0,9
1225,-22.0,22
1226,-16.0,16
1227,-24.0,24
1228,-14.0,14
1229,-22.0,22
1230,-22.0,22
1231,-16.0,16
1232,-20.0,20
1233,-20.0,20
1234,-9.0,6
1235,-21.0,21
1236,-9.0,6
1237,-20.0,20
1238,-9.0,10
1239,-24.0,24
1240,-21.0,21
1241,-9.0,7
1242,-19.0,19
1243,-16.0,16
1244,-9.0,5
1245,-20.0,20
1246,-9.0,8
1247,-9.0,19
1248,-9.0,10
1249,-10.0,14
1250,-20.0,20
1251,-14.0,14
1252,-24.0,24
1253,-19.0,19
1254,-18.0,18
1255,-24.0,24
1256,-11.0,12
1257,-17.0,17
1258,-20.0,20
1259,-18.0,18
1260,-24.0,24
1261,-19.0,19
1262,-18.0,18
1263,-19.0,19
1264,-12.0,12
1265,-9.0,7
1266,-9.0,8
1267,-40.0,35
1268,-19.0,19
1269,-21.0,21
1270,-9.0,8
1271,-19.0,19
1272,-9.0,6
1273,-24.0,21
1274,-19.0,19
1275,-9.0,7
1276,-17.0,17
1277,-9.0,11
1278,-20.0,20
1279,-17.0,17
1280,-17.0,17
1281,-10.0,13
1282,-17.0,17
1283,-21.0,21
1284,-17.0,17
1285,-9.0,8
1286,-15.0,15
1287,-10.0,8
1288,-14.0,14
1289,-18.0,18
1290,-20.0,20
1291,-19.0,19
1292,-11.0,13
1293,-28.0,28
1294,-9.0,10
1295,-21.0,21
1296,-10.0,9
1297,-9.0,8
1298,-20.0,20
1299,-9.0,10
1300,-18.0,18
1301,-19.0,19
1302,-9.0,10
1303,-9.0,5
1304,-15.0,15
1305,-17.0,17
1306,-21.0,21
1307,-18.0,18
1308,-9.0,11
1309,-19.0,19
1310,-25.0,25
1311,-9.0,12
1312,-13.0,13
1313,-15.0,15
1314,-18.0,18
1315,-21.0,21
1316,-14.0,14
1317,-20.0,18
1318,-9.0,9
1319,-19.0,19
1320,-11.0,11
1321,-9.0,11
1322,-16.0,16
1323,-10.0,10
1324,-33.0,33
1325,-18.0,18
1326,-9.0,10
1327,-21.0,17
1328,-18.0,18
1329,-16.0,16
1330,-9.0,10
1331,-17.0,17
1332,-17.0,17
1333,-19.0,19
1334,-16.0,16
1335,-23.0,23
1336,-19.0,19
1337,-16.0,16
1338,-9.0,11
1339,-20.0,20
1340,-16.0,16
1341,-19.0,19
1342,-18.0,18
1343,-13.0,13
1344,-13.0,13
1345,-15.0,15
1346,-17.0,17
1347,-23.0,23
1348,-9.0,12
1349,-16.0,16
1350,-28.0,28
1351,-9.0,6
1352,-20.0,20
1353,-16.0,16
1354,-15.0,15
1355,-18.0,18
1356,-17.0,17
1357,-14.0,14
1358,-9.0,11
1359,-17.0,17
1360,-10.0,15
1361,-15.0,15
1362,-10.0,9
1363,-24.0,18
1364,-9.0,7
1365,-20.0,20
1366,-13.0,13
1367,-17.0,17
1368,-25.0,25
1369,-19.0,19
1370,-10.0,14
1371,-11.0,20
1372,-18.0,18
1373,-20.0,20
1374,-9.0,5
1375,-31.0,26
1376,-21.0,21
1377,-10.0,12
1378,-15.0,15
1379,-13.0,13
1380,-9.0,8
1381,-17.0,17
1382,-15.0,15
1383,-20.0,20
1384,-16.0,16
1385,-9.0,8
1386,-17.0,17
1387,-13.0,15
1388,-9.0,5
1389,-17.0,17
1390,-17.0,17
1391,-12.0,12
1392,-10.0,9
1393,-14.0,14
1394,-15.0,15
1395,-9.0,6
1396,-9.0,6
1397,-9.0,19
1398,-10.0,6
1399,-20.0,20
1400,-9.0,7
1401,-23.0,23
1402,-25.0,25
1403,-23.0,23
1404,-14.0,14
1405,-9.0,13
1406,-11.0,15
1407,-9.0,8
1408,-23.0,23
1409,-9.0,9
1410,-27.0,27
1411,-10.0,17
1412,-9.0,12
1413,-22.0,22
1414,-17.0,17
1415,-21.0,21
1416,-20.0,20
1417,-20.0,20
1418,-9.0,7
1419,-14.0,14
1420,-12.0,12
1421,-12.0,18
1422,-16.0,16
1423,-9.0,9
1424,-15.0,15
1425,-9.0,8
1426,-14.0,14
1427,-16.0,16
1428,-9.0,8
1429,-16.0,16
1430,-9.0,10
1431,-14.0,14
1432,-16.0,16
1433,-9.0,8
1434,-15.0,15
1435,-21.0,21
1436,-20.0,20
1437,-9.0,8
1438,-17.0,17
1439,-17.0,17
1440,-15.0,15
1441,-21.0,21
1442,-10.0,11
1443,-15.0,15
1444,-15.0,15
1445,-14.0,14
1446,-9.0,8
1447,-9.0,5
1448,-13.0,13
1449,-13.0,13
1450,-12.0,12
1451,-9.0,10
1452,-27.0,27
1453,-24.0,24
1454,-19.0,19
1455,-13.0,16
1456,-17.0,17
1457,-17.0,17
1458,-18.0,18
1459,-20.0,20
1460,-23.0,23
1461,-22.0,22
1462,-14.0,14
1463,-28.0,28
1464,-9.0,10
1465,-19.0,19
1466,-15.0,15
1467,-9.0,8
1468,-10.0,8
1469,-19.0,19
1470,-10.0,15
1471,-9.0,11
1472,-21.0,21
1473,-19.0,19
1474,-25.0,25
1475,-23.0,23
1476,-17.0,17
1477,-11.0,10
1478,-32.0,32
1479,-13.0,13
1480,-18.0,18
1481,-14.0,14
1482,-15.0,15
1483,-9.0,7
1484,-15.0,15
1485,-9.0,9
1486,-13.0,13
1487,-18.0,22
1488,-9.0,9
1489,-20.0,20
1490,-14.0,14
1491,-10.0,15
1492,-10.0,16
1493,-18.0,18
1494,-10.0,13
1495,-10.0,11
