episode,ep_rew,ep_len
626,-64.0,64
627,-54.0,54
628,-48.0,48
629,-110.0,100
630,-10.0,10
631,-110.0,100
632,-110.0,100
633,-18.0,19
634,-12.0,24
635,-10.0,13
636,-14.0,40
637,-110.0,100
638,-110.0,100
639,-13.0,11
640,-88.0,68
641,-129.0,100
642,-15.0,16
643,-76.0,76
644,-14.0,13
645,-9.0,9
646,-86.0,86
647,-10.0,7
648,-119.0,100
649,-43.0,43
650,-110.0,100
651,-15.0,17
652,-16.0,29
653,-19.0,31
654,-20.0,23
655,-37.0,71
656,-120.0,100
657,-13.0,17
658,-138.0,100
659,-17.0,16
660,-110.0,100
661,-15.0,12
662,-110.0,100
663,-110.0,100
664,-110.0,100
665,-12.0,11
666,-110.0,100
667,-110.0,100
668,-50.0,50
669,-50.0,50
670,-9.0,12
671,-11.0,14
672,-11.0,12
673,-9.0,18
674,-12.0,14
675,-172.0,100
676,-27.0,35
677,-16.0,26
678,-110.0,100
679,-11.0,10
680,-11.0,10
681,-12.0,12
682,-18.0,26
683,-110.0,100
684,-11.0,13
685,-9.0,5
686,-21.0,21
687,-10.0,14
688,-18.0,19
689,-12.0,16
690,-14.0,21
691,-19.0,20
692,-110.0,100
693,-20.0,24
694,-11.0,8
695,-110.0,100
696,-13.0,31
697,-14.0,14
698,-10.0,9
699,-11.0,17
700,-110.0,100
701,-11.0,8
702,-110.0,100
703,-20.0,19
704,-97.0,97
705,-110.0,100
706,-10.0,9
707,-110.0,100
708,-12.0,22
709,-40.0,40
710,-11.0,19
711,-110.0,100
712,-110.0,100
713,-11.0,10
714,-53.0,53
715,-32.0,32
716,-52.0,52
717,-91.0,91
718,-110.0,100
719,-13.0,14
720,-110.0,100
721,-12.0,13
722,-24.0,32
723,-45.0,45
724,-11.0,14
725,-92.0,92
726,-20.0,27
727,-13.0,15
728,-110.0,100
729,-110.0,100
730,-110.0,100
731,-14.0,16
732,-110.0,100
733,-16.0,20
734,-10.0,32
735,-110.0,100
736,-15.0,19
737,-129.0,100
738,-13.0,13
739,-14.0,12
740,-9.0,7
741,-18.0,17
742,-15.0,21
743,-110.0,100
744,-15.0,12
745,-11.0,12
746,-69.0,60
747,-110.0,100
748,-68.0,68
749,-18.0,34
750,-12.0,13
751,-10.0,10
752,-130.0,100
753,-110.0,100
754,-110.0,100
755,-20.0,21
756,-110.0,100
757,-87.0,87
758,-19.0,22
759,-110.0,100
760,-110.0,100
761,-15.0,13
762,-12.0,17
763,-25.0,50
764,-11.0,13
765,-110.0,100
766,-110.0,100
767,-110.0,100
768,-12.0,17
769,-110.0,100
770,-35.0,35
771,-15.0,14
772,-15.0,18
773,-13.0,13
774,-110.0,100
775,-110.0,100
776,-10.0,12
777,-15.0,15
778,-110.0,100
779,-10.0,10
780,-14.0,16
781,-18.0,18
782,-110.0,100
783,-12.0,16
784,-110.0,100
785,-15.0,13
786,-18.0,17
787,-11.0,10
788,-18.0,25
789,-10.0,9
790,-20.0,20
791,-16.0,17
792,-18.0,21
793,-110.0,100
794,-10.0,15
795,-110.0,100
796,-10.0,7
797,-18.0,15
798,-26.0,30
799,-110.0,100
800,-110.0,100
801,-15.0,16
802,-12.0,14
803,-12.0,7
804,-110.0,100
805,-9.0,7
806,-110.0,100
807,-10.0,8
808,-110.0,100
809,-16.0,18
810,-110.0,100
811,-13.0,10
812,-13.0,17
813,-12.0,17
814,-20.0,27
815,-21.0,24
816,-18.0,30
817,-11.0,10
818,-20.0,38
819,-15.0,16
820,-19.0,21
821,-11.0,11
822,-51.0,51
